country_id,region_id,population
1,272,1241185
1,273,656495
1,274,970010
1,275,1312520
1,276,509567
1,277,630514
1,278,1202486
1,279,856963
1,280,829953
1,281,1010006
1,282,2410845
1,283,516805
1,284,4830980
1,285,1458557
1,286,474686
1,287,825140
1,288,518506
1,289,899212
1,290,529683
1,291,454562
1,292,1779822
1,293,166003
1,294,174312
1,295,473240
1,296,625963
1,297,674991
1,298,432292
1,299,608787
1,300,1172770
1,301,386536
1,302,723865
1,303,330648
1,99878,487998
1,99879,158803
1,900483,1241239
1,900484,656515
1,900485,970010
1,900486,1312279
1,900487,509307
1,900488,510317
1,900489,630639
1,900490,1202493
1,900491,858028
1,900492,829201
1,900493,1010827
1,900494,2410235
1,900495,516816
1,900496,4830980
1,900497,1433916
1,900498,474686
1,900499,825815
1,900500,518133
1,900501,899235
1,900502,529683
1,900503,454562
1,900504,1780037
1,900505,166107
1,900506,174276
1,900507,473418
1,900508,625837
1,900509,158803
1,900510,674991
1,900511,432292
1,900512,608787
1,900513,1172383
1,900514,387598
1,900515,723865
1,900516,330654
2,304,6394
3,305,79365
3,306,24433
3,307,13926
3,308,23827
3,309,46460
3,310,216827
3,311,164509
3,312,141908
3,313,30095
3,314,18166
3,315,16429
3,316,50157
3,317,7985
3,318,105772
3,319,57394
3,320,21044
3,321,39634
3,322,40245
3,323,64403
3,324,45833
3,325,97431
3,326,27155
3,327,17442
3,328,33466
3,329,14939
3,330,20798
3,331,11494
3,332,55754
3,333,11254
3,334,42996
3,335,154105
3,336,10028
3,337,12956
3,338,945274
3,339,17411
3,340,112879
4,341,546381
4,342,923038
4,343,433014
4,344,4279872
4,345,817116
4,346,1497023
4,347,336555
4,348,988261
4,349,1007454
4,350,1433086
4,351,745206
4,352,798676
4,353,1059773
4,354,1206212
4,355,1250228
4,356,1680075
4,357,340414
4,358,881040
4,359,483956
4,360,462493
4,361,564021
4,362,88579
4,363,715202
4,364,474473
4,365,741796
4,366,948806
4,367,885316
4,368,898782
4,369,874195
4,370,1297879
4,371,350796
4,372,2156196
4,373,781806
4,374,780703
4,375,855713
4,376,412013
4,377,1766096
4,378,722376
4,379,1057647
4,380,561396
4,381,245398
4,382,800350
4,383,100079
4,384,1152302
4,385,696734
4,386,649817
4,387,1154903
4,388,1101997
5,389,51262
7,391,26384
7,392,9464
7,393,21381
7,394,21805
7,395,14039
7,396,8110
7,397,10335
8,398,649467
8,399,1973503
8,400,1078887
8,401,1378871
8,402,422421
8,403,1892312
8,404,1247671
8,405,1684331
8,406,3206859
8,407,299044
8,408,16573563
8,409,892490
8,410,510636
8,411,948363
8,412,1200435
8,413,637907
8,414,923545
8,415,833976
9,416,3355
9,417,2685
9,418,1436
9,419,944
9,420,1327
9,421,1582
9,422,534
9,424,579
9,425,332
11,40206,1894
11,40208,10415
11,40209,51969
11,40210,7264
11,40211,8628
11,40212,5838
11,40213,3574
12,429,17911478
12,430,2607176
12,431,410871
12,432,1140297
12,433,645327
12,434,3618205
12,435,1075724
12,436,1331189
12,437,584278
12,438,748703
12,439,345225
12,440,393675
12,441,1938330
12,442,1306288
12,443,660330
12,444,751040
12,445,1393167
12,446,763013
12,447,520054
12,448,411288
12,449,3426543
12,450,959051
12,451,161953
12,452,1582656
13,453,131312
13,454,225013
13,455,257866
13,456,214003
13,457,349535
13,458,189559
13,460,215835
13,461,109483
13,462,105149
13,463,43635
13,464,939503
13,900833,969118
13,900834,135791
13,900835,261338
13,900836,270427
13,900837,215472
13,900838,191343
13,900839,266572
13,900840,217511
13,900841,111446
13,900842,46793
13,900843,111194
14,465,115263
15,70036,1194956
15,70037,185254
15,900005,641906
16,467,0
17,468,356572
17,470,6741109
17,471,205405
17,472,814
17,473,4246681
17,474,1578287
17,475,472829
17,476,5319773
17,477,2196199
18,478,351817
18,479,556257
18,480,1690526
18,481,1450407
18,482,539440
18,483,1243721
18,484,756677
18,485,389272
18,486,1825538
19,493,1675073
19,516,1273734
19,528,483338
19,534,1624014
19,536,908055
19,541,426898
19,558,600079
19,147298,2009930
19,147299,317426
19,147302,267440
19,147306,655378
20,561,353248
21,562,215777
21,563,33571
21,564,171
21,565,7776
21,566,106439
21,567,180573
21,568,268579
21,569,132207
21,570,86731
21,571,260233
21,572,128586
21,573,245091
23,575,8310235
23,576,31920452
23,577,57322532
23,578,16459322
23,579,20613574
23,580,12100613
23,61363,17637100
23,900396,379721
23,900397,8111123
23,900398,31856028
23,900399,45248260
23,900400,16609495
23,900401,12094344
23,900402,20676144
23,900403,17685506
23,900404,12080382
24,581,43164
24,582,5025
24,583,23526
24,584,36890
24,585,11271
24,586,6144
24,587,12455
24,588,77673
24,589,13269
24,590,34169
24,591,18329
26,593,1329592
26,594,1361740
26,595,975023
26,596,2592442
26,597,828570
26,598,987604
26,599,1104129
27,600,1250852
27,601,6593758
27,602,3761558
28,603,132781
28,604,87945
28,605,48106
28,606,57183
28,607,49999
28,608,34690
29,609,1225382
29,610,1044243
29,611,1875719
29,612,1678512
29,613,853893
29,614,899577
29,615,718683
29,616,673115
29,617,614862
29,618,1467742
29,619,820208
29,620,1088094
30,621,42697
31,622,19955
31,623,101507
31,624,31788
31,625,3206
31,626,13769
31,627,17031
31,628,49529
31,629,44198
31,630,29034
31,631,25083
31,632,79558
31,633,81742
31,634,50527
31,635,116879
31,636,20251
31,637,65570
31,638,17807
31,639,24082
31,640,63914
31,641,24168
33,648,197672
33,40443,475821
